Student Name,Mathematics,Science,English,Hindi,Social Science,Computer
Student 1,49,47,43,82,70,88
Student 2,38,83,84,91,94,75
Student 3,70,70,83,92,66,68
Student 4,66,93,94,50,44,61
Student 5,63,81,67,66,91,75
Student 6,52,55,36,63,47,65
Student 7,48,82,49,43,41,68
Student 8,46,80,69,78,36,85
Student 9,89,61,78,37,46,51
Student 10,39,69,49,64,65,73
Student 11,38,44,72,63,56,93
Student 12,46,56,90,35,87,75
Student 13,62,66,55,44,97,44
Student 14,64,55,93,42,96,36
Student 15,99,94,35,64,62,93
Student 16,38,83,68,43,86,47
Student 17,60,69,99,39,42,44
Student 18,88,63,57,77,56,62
Student 19,63,76,99,44,83,99
Student 20,92,42,48,100,35,68
Student 21,70,64,73,65,84,51
Student 22,35,39,99,70,68,79
Student 23,55,75,60,97,93,43
Student 24,89,86,54,62,71,66
Student 25,78,69,82,51,89,82
Student 26,70,43,55,95,97,71
Student 27,54,62,35,66,54,55
Student 28,62,75,76,95,59,91
Student 29,78,62,97,87,72,73
Student 30,48,98,37,59,62,36
Student 31,46,85,49,47,42,73
Student 32,83,93,81,47,42,48
Student 33,47,53,74,90,75,52
Student 34,80,68,65,80,42,68
Student 35,79,52,42,89,41,49
Student 36,68,66,65,87,96,48
Student 37,40,68,45,94,99,54
Student 38,93,89,45,41,55,69
Student 39,50,86,97,47,42,71
Student 40,83,81,43,42,100,61
Student 41,45,63,51,86,45,78
Student 42,72,52,51,78,58,61
Student 43,81,100,95,48,43,68
Student 44,59,98,56,66,43,99
Student 45,43,46,68,59,65,97
Student 46,40,41,89,59,86,67
Student 47,64,49,62,92,50,41
Student 48,72,54,60,52,66,46
Student 49,45,55,74,89,40,89
Student 50,64,89,86,58,45,70
